Naam,Productcode,Type,Attributen,Barcode,EAN,Tags,Lengte,Breedte,Hoogte,Gewicht,Leverancier,Leverancier productcode,Afbeelding,Extern product,Inkoopbaar,Ongelimiteerde voorraad,Vrije voorraad,Totale voorraad,Minimale voorraad,Voorraad aanvullen tot,Inkoop veelvoud,Inkoopprijs,Verkoopprijs,Belastingspercentage,Voorraadwaarde,Backorders toestaan,Voorraad bijwerken in verkoopplatformen,Korte leverperiode,Lange leverperiode,Voorraadlocatie (hoogste prioriteit),HS-code,Land van oorsprong,Douane - Productbeschrijving (Engels),Cantastic,Cantastic TEST
Grog Booster 08 SKI,8052440551736,Normaal,Color: GROG DEATH BLACK|large_number: 8020,,,,9.00,12.00,0.05,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/326b5b54f9eaf68dd51306445c4c65/original.jpg,0,1,0,2,2,0,10,1,0.00,4.8,,0,0,1,,,,,,,1,0
Grog Squeezer 25mm SKI,8052440551101,Normaal,Color: GROG DEATH BLACK|large_number: 8020,,,,14.20,4.00,4.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/6d60a6401ba6e68126a66f717b95a5/original.jpg,0,1,0,7,7,0,10,1,0.00,8.9,,0,0,1,,,,,,,1,0
GVS  Elipse E1  Vervangbare Gasfilter,AC16K022,Normaal,"Sizes: S, M, L, XL, XXL|large_number: 8020",,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/927990314af1fba3fa27ed02a434c9/original.jpg,0,1,0,0,0,0,10,1,0.00,14.9,,0,0,1,,,,,,,1,0
GVS  Elipse E1  S/M Gasfilter Masker,P.AC16K0211-1,Normaal,"Sizes: S, M, L, XL, XXL|large_number: 8020",,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/1557e6b27bbe1338101c0de9f26ecd/original.jpg,0,1,0,0,0,0,10,1,0.00,34.95,,0,0,1,,,,,,,1,0
GVS  Elipse E1  M/L Gasfilter Masker,P.AC16K0211,Normaal,"Sizes: S, M, L, XL, XXL|large_number: 8020",,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/4b9a25abae3749d225ec32ecbe4c7f/original.jpg,0,1,0,0,0,0,10,1,0.00,34.95,,0,0,1,,,,,,,1,0
GVS  Elipse P3 RD M/L Fijnstoffilter Masker,SPR501,Normaal,"Sizes: S, M, L, XL, XXL|large_number: 8020",,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/a6b11b5cbdb2e69e381605d59e71a4/original.jpg,0,1,0,0,0,0,10,1,0.00,27.49,,0,0,1,,,,,,,1,0
GVS  Elipse P3 RD S/M Fijnstoffilter Masker,SPR299,Normaal,"Sizes: S, M, L, XL, XXL|large_number: 8020",5060233800094,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/721c3d668f56d8729037c78a2687d1/original.jpg,0,1,0,0,0,0,10,1,0.00,27.49,,0,0,1,,,,,NL,,1,0
Stencil Cap,SP12Y14001,Normaal,,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/f4e518f638f07cf2926b3c1a99230b/original.jpg,0,1,0,0,0,0,10,1,0.00,2.99,,0,0,1,,,,,,,1,0
50/50 Adapter Pressure,SP12Y32001,Normaal,,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/8e42bc5e9a2e1766d8b346dc9ac1c5/original.jpg,0,1,0,0,0,0,10,1,0.00,2.99,,0,0,1,,,,,,,1,0
One Week with 1UP - Collectors Edition,9783981902617,Normaal,large_number: 8020,,,,30.00,21.00,5.00,1,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/c2d8763cfb7f3e32eb678517b62cd1/original.jpg,0,1,0,0,0,0,10,1,0.00,39.99,,0,0,1,,,,,,,1,0
"ADGO Betonschaar 12"" Heavy Duty",5903347001691,Normaal,large_number: 8020,,,,31.00,15.00,4.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/f5c445ac65df60845b28fceeb12a0c/original.jpg,0,1,0,5,5,0,10,1,0.00,11.99,,0,0,1,,,,,,,1,0
"ADGO Betonschaar 14"" Heavy Duty",5907630187673,Normaal,large_number: 8020,,,,36.00,15.00,4.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/2503eb3adf61e147fb8751450521a5/original.jpg,0,1,0,2,2,0,10,1,0.00,14.99,,0,0,1,,,,,,,1,0
MOLOTOW EMPTY MARKER 411EM 15MM,411000,Normaal,large_number: 8020,,,,14.20,3.50,3.50,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/d3e6b00aa7ac43aabe1ade95fa6e93/original.jpg,0,1,0,308,309,0,10,1,0.00,2.1,,0,0,1,,,,,NL,,1,0
DRIPSTICK DS-S 10MM EMPTY,830252,Normaal,large_number: 8020,,,,14.20,3.50,3.50,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/b24635760c6cd301ebec4fbce4a468/original.jpg,0,1,0,274,274,0,10,1,0.00,1.5,,0,0,1,,,,,NL,,1,0
DC Spraymaster,4048500703072,Normaal,,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/c809d4a6da32ddde1ea5fe8da863a2/original.jpg,0,1,0,2,2,0,10,1,0.00,5.9,,0,0,1,,,,,,,1,0
Loop Colors Fineliner 1.0mm,8021025541042,Normaal,large_number: 8020,,,,13.00,1.00,1.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/509f7eaaaf85cb2cfca6c793816c1c/original.jpg,0,1,0,5,5,0,10,1,0.00,2.5,,0,0,1,,,,,,,1,0
Loop Colors Fineliner Calligraphy,8021025561040,Normaal,large_number: 8020,,,,13.00,1.00,1.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/18d37c36ba688fdf0ffc241b0e02be/original.jpg,0,1,0,9,9,0,10,1,0.00,2.5,,0,0,1,,,,,,,1,0
Loop Colors Fineliner Brush,8021025551041,Normaal,large_number: 8020,,,,13.00,1.00,1.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/83751794d6b5d636905a67f4453250/original.jpg,0,1,0,10,10,0,10,1,0.00,2.5,,0,0,1,,,,,,,1,0
Loop Colors Fineliner 0.7mm,8021025531043,Normaal,large_number: 8020,,,,13.00,1.00,1.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/c156b6c30b1c4a26c0100fd3ada628/original.jpg,0,1,0,8,8,0,10,1,0.00,2.5,,0,0,1,,,,,,,1,0
Loop Colors Fineliner 0.5mm,8021025521044,Normaal,large_number: 8020,,,,13.00,1.00,1.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/e62bdb3933c65e3373d3ce6e44b24f/original.jpg,0,1,0,8,8,0,10,1,0.00,2.5,,0,0,1,,,,,,,1,0
