Intern UUID,Naam,Productcode,Actief,Type,Attributen,Barcode,EAN,Tags,Lengte,Breedte,Hoogte,Gewicht,Leverancier,Leverancier productcode,Afbeelding,Extern product,Inkoopbaar,Ongelimiteerde voorraad,Vrije voorraad,Totale voorraad,Gebruik fictieve voorraad,Fictieve voorraad,Gebruik daadwerkelijke voorraad als voorraad onder de volgende drempel komt,Minimale voorraad,Voorraad aanvullen tot,Inkoop veelvoud,Inkoopprijs,Verkoopprijs,Belastingspercentage,Voorraadwaarde,Backorders toestaan,Voorraad bijwerken in verkoopplatformen,Levertijd indien op voorraad,Levertijd indien niet op voorraad,Voorraadlocatie (hoogste prioriteit),HS-code,Land van oorsprong,Douane - Productbeschrijving (Engels),Cantastic,Cantastic TEST
619051b2-22b6-43c7-acfd-c1915b1d9039,Mr. Serious 12 pack Shoulder Bag,23301016,1,Normaal,large_number: 8020,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/684b13bd3e3fa72e6d7c3120aa6e24/original.jpg,0,1,0,4,4,0,,,0,10,1,0.00,24.99,,0,0,1,,,,,,,1,0
8d185630-fdd7-4f9d-bf47-f2a45f80aa81,HMX Pro Mapuche,2017080184702,1,Normaal,large_number: 8020,,,,42.00,30.00,1.00,4,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/66b155f2a836c729eb379f571f1082/original.jpg,0,1,0,4,4,0,,,0,10,1,0.00,10.99,,0,0,1,,,,,,,1,0
33eb3afd-f421-4491-b709-b17cd408cd46,HMX Venyason Pro,2017080187109,1,Normaal,large_number: 8020,,,,42.00,30.00,1.00,4,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/4ad6e661b47acc1893d51062116d45/original.jpg,0,1,0,12,12,0,,,0,10,1,0.00,12.99,,0,0,1,,,,,,,1,0
68eb8465-8723-483b-b852-55cba297d568,HMX Pro Lima,2017080184306,1,Normaal,large_number: 8020,,,,42.00,30.00,1.00,4,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/205ad95b8e03ddd1f46e54aab52574/original.jpg,0,1,0,6,6,0,,,0,10,1,0.00,10.99,,0,0,1,,,,,,,1,0
14c4afd4-2736-48ac-be76-95e51e41142a,HMX Pro Wicked Witch,2017080187307,1,Normaal,large_number: 8020,,,,42.00,30.00,1.00,4,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/dc83e42a575905480aa652af9291ea/original.jpg,0,1,0,4,4,0,,,0,10,1,0.00,10.99,,0,0,1,,,,,,,1,0
dfe472b9-5fd0-4c0d-b8cf-b3d22e3e0527,HMX Pro Chilean,2017080181701,1,Normaal,large_number: 8020,,,,42.00,30.00,1.00,4,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/30d1e4b6d8851a8965c259047d39cc/original.jpg,0,1,0,9,9,0,,,0,10,1,0.00,10.99,,0,0,1,,,,,,,1,0
d0e6e5d7-6d66-42db-b9d1-bf849ce66bc2,HMX Pro Egg Shell,2017080182500,1,Normaal,large_number: 8020,,,,42.00,30.00,1.00,4,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/fe010155545f5e40fac767b9203f8b/original.jpg,0,1,0,5,5,0,,,0,10,1,0.00,10.99,,0,0,1,,,,,,,1,0
9fc6824d-b0af-418d-8cf0-cff3d0276698,Orange Fat Cap,A6-01.074,1,Normaal,,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/ddc77e0b3b33ab71d92e0fa9a8f0e6/original.jpg,0,1,0,3903,3903,0,,,0,10,1,0.00,0.3,,0,0,1,,,,,,,1,0
4f32e726-19b2-4d04-9acf-ea815a3a1b39,New York Fat 5panel cap,23705913,1,Normaal,large_number: 8020,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/50f658abbd946fc83b9527792f4393/original.jpg,0,1,0,2,2,0,,,0,10,1,0.00,27.5,,0,0,1,,,,,,,1,0
6f506cda-cab7-4dea-be46-f859b593260d,Yellow Super Fat Beanie,23704503,1,Normaal,large_number: 8020,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/3f1b31e652daac1fe49108d0d6cc84/original.jpg,0,1,0,2,2,0,,,0,10,1,0.00,21.5,,0,0,1,,,,,,,1,0
e66f50e0-da48-4d2b-bc00-abf952786fdc,Pink Dot Fat Beanie,23704909,1,Normaal,large_number: 8020,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/7b75d84f6d21de74c92726b3b68ae4/original.jpg,0,1,0,2,2,0,,,0,10,1,0.00,21.5,,0,0,1,,,,,,,1,0
19f91c84-82be-4b01-a928-ef9df218282b,Orange Medium Fat Beanie,23704602,1,Normaal,large_number: 8020,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/f787e72b38a6d0cc1b7a792bd3b7f2/original.jpg,0,1,0,2,2,0,,,0,10,1,0.00,21.5,,0,0,1,,,,,,,1,0
6627bc96-3235-484a-9f25-70308bfa40a7,New York Fat Beanie,23704916,1,Normaal,large_number: 8020,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/5c27f1a3bfc5e489d3249c37af4079/original.jpg,0,1,0,1,1,0,,,0,10,1,0.00,21.5,,0,0,1,,,,,,,1,0
9333828d-7304-46a7-86c7-345536c24515,Needle cap,A6-01.071,1,Normaal,,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/ebcb79f7e8ff746ec9cf71d63f7e1d/original.jpg,0,1,0,943,943,0,,,0,10,1,0.00,0.3,,0,0,1,,,,,,,1,0
cc5a0b15-0619-4615-94f2-ce802879d6a3,Loop Colors Marker 4mm pack,lp-deals-mrkr-pack-4mm,1,Samengesteld,large_number: 8020,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/b806d007f6e3355f649aa342e40aaf/original.jpg,0,1,0,2,2,0,,,0,10,1,0,64.95,,0,0,1,,,,,NL,,1,0
da38c293-b977-4ebe-925e-6e804156d957,Loop Colors Marker 2mm pack,lp-deals-mrkr-pack-2mm,1,Samengesteld,large_number: 8020,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/d4ad802b5f47142bbb9e558d64921c/original.jpg,0,1,0,0,0,0,,,0,10,1,0,59.95,,0,0,1,,,,,NL,,1,0
40ead397-d067-49f6-8f5c-a717c3675dd2,HMX Pro Ice Cream,2017080183705,1,Normaal,large_number: 8020,,,,42.00,30.00,1.00,4,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/0e978f2fc56cad2d58bcc569539ba4/original.jpg,0,1,0,4,4,0,,,0,10,1,0.00,10.99,,0,0,1,,,,,,,1,0
5b10599c-7766-48ba-97f8-edb1b9bee6fc,HMX Pro Marley,2017080184900,1,Normaal,large_number: 8020,,,,42.00,30.00,1.00,4,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/6f6ef8ce0dac8c5bdaf40ba2ea81b0/original.jpg,0,1,0,4,4,0,,,0,10,1,0.00,10.99,,0,0,1,,,,,,,1,0
09aa752d-8f77-4afa-8a6b-bdeb0bb0b57a,HMX Pro Pirineus,2017080186904,1,Normaal,large_number: 8020,,,,42.00,30.00,1.00,4,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/58cb22bdc0c5acd19c57da88009b40/original.jpg,0,1,0,8,8,0,,,0,10,1,0.00,10.99,,0,0,1,,,,,,,1,0
fc602373-c29c-45dd-bc59-248f07f6a591,Grog Black Magic Ink,8052440552979,1,Normaal,large_number: 8020,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/2de7b0bcdfc8d5cf36a628efe4061b/original.jpg,0,1,0,3,3,0,,,0,10,1,0.00,9,,0,0,1,,,,,,,1,0
c9ebb4a7-ab57-4fb5-bb82-5094729092c2,Grog Squeezer 5mm BPI,8052440550913,1,Normaal,Color: GROG DEATH BLACK,,,,13.40,2.60,2.60,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/41d041319c9f4d6b34c3cd4a35d005/original.jpg,0,1,0,1,1,0,,,0,10,1,0.00,5.2,,0,0,1,,,,,,,1,0
d8c73fbe-8846-498e-872c-4b2188d341ac,Grog Squeezer 5mm BPI,8052440550951,1,Normaal,Color: GROG SPLATTER RED,,,,13.40,2.60,2.60,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/59eab7bd9401d10398eba908fe511d/original.jpg,0,1,0,1,1,0,,,0,10,1,0.00,5.2,,0,0,1,,,,,,,1,0
b314e7d1-a9ad-4faf-bb6d-f6217f5ce416,Grog Squeezer 5mm BPI,8052440550944,1,Normaal,Color: GROG JELLYFISH FUCHSIA,,,,13.40,2.60,2.60,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/62694b37b5aa7c1c5ee442054aece7/original.jpg,0,1,0,2,2,0,,,0,10,1,0.00,5.2,,0,0,1,,,,,,,1,0
e284bd90-7d32-4e3c-8cfe-4aed5930bb7b,Grog Squeezer 5mm BPI,8052440550937,1,Normaal,Color: GROG DIVING BLUE,,,,13.40,2.60,2.60,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/2497a78715a932dd75806b393c2167/original.jpg,0,1,0,0,0,0,,,0,10,1,0.00,5.2,,0,0,1,,,,,,,1,0
7928d678-bb93-4e2c-a190-73520b9efccc,Astro Fat Cap 100 stuks Voordeelzak,A6-01.068-100bag,1,Samengesteld,large_number: 8020,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/ade846fba07bff5112c6da7a697823/original.jpg,0,1,0,56,56,0,,,0,10,1,0,23.99,,0,0,1,,,,,NL,,1,0
b5c94fa0-a978-4a43-988c-48504d0e0aa2,Loop Colors Skinny Cap 100 stuks Voordeelzak,A6-01.066-100bag,1,Normaal,large_number: 8020,8021025010661,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/a82043652f927ac867801c1d788ccb/original.jpg,0,1,1,0,0,0,,,0,10,1,0.00,23.99,,0,0,1,,,,,NL,,1,0
